country,year,date,confirmed_case,recovered_case,recovered_percent
Colombia,2020,2020-12-31,1642775,1508419,91.82139976564045
Colombia,2021,2021-05-29,3363061,3141549,93.41338144030097
Comoros,2020,2020-12-31,823,705,85.66221142162819
Comoros,2021,2021-05-29,3881,3719,95.82581808812162
Congo (Brazzaville),2020,2020-12-31,7107,5846,82.25692978753342
Congo (Brazzaville),2021,2021-05-29,11658,8208,70.40658775090067
Congo (Kinshasa),2020,2020-12-31,17658,14701,83.25404915618982
Congo (Kinshasa),2021,2021-05-29,31416,27665,88.06022408963585
Costa Rica,2020,2020-12-31,169321,131923,77.91295822727245
Costa Rica,2021,2021-05-29,314102,242019,77.05108531623486
Cote d'Ivoire,2020,2020-12-31,22490,21934,97.52779012894621
Cote d'Ivoire,2021,2021-05-29,47233,46642,98.7487561662397
Croatia,2020,2020-12-31,210837,198018,93.91994763727429
Croatia,2021,2021-05-29,355955,345396,97.03361379949713
Cuba,2020,2020-12-31,11863,10125,85.34940571524909
Cuba,2021,2021-05-29,140087,132910,94.87675515929386
Cyprus,2020,2020-12-31,22019,2057,9.341931967845952
Cyprus,2021,2021-05-29,72363,39061,53.97924353606125
Czechia,2020,2020-12-31,718661,592581,82.45626241023236
Czechia,2021,2021-05-29,1660935,1617498,97.38478628001698
Denmark,2020,2020-12-31,164116,127844,77.89855955543639
Denmark,2021,2021-05-29,280183,264320,94.33834315429559
Diamond Princess,2020,2020-12-31,712,699,98.17415730337079
Diamond Princess,2021,2021-05-29,712,699,98.17415730337079
Djibouti,2020,2020-12-31,5831,5728,98.23357914594409
Djibouti,2021,2021-05-29,11523,11354,98.53336804651566
Dominica,2020,2020-12-31,88,83,94.31818181818183
Dominica,2021,2021-05-29,188,182,96.80851063829788
Dominican Republic,2020,2020-12-31,170785,131185,76.81295195713909
Dominican Republic,2021,2021-05-29,290526,238810,82.1991835498372
Ecuador,2020,2020-12-31,212512,184507,86.82192064448125
Ecuador,2021,2021-05-29,424741,366425,86.27022114653401
Egypt,2020,2020-12-31,138062,112105,81.19902652431517
Egypt,2021,2021-05-29,260659,191475,73.45804288361423
El Salvador,2020,2020-12-31,46242,45960,99.39016478526015
El Salvador,2021,2021-05-29,73246,68408,93.39486115282746
Equatorial Guinea,2020,2020-12-31,5277,5136,97.32802728823195
Equatorial Guinea,2021,2021-05-29,8529,8146,95.50943838668073
Eritrea,2020,2020-12-31,1320,643,48.71212121212121
Eritrea,2021,2021-05-29,4061,3812,93.86850529426249
Estonia,2020,2020-12-31,27990,18326,65.47338335119686
Estonia,2021,2021-05-29,129424,122918,94.97311163308197
Eswatini,2020,2020-12-31,9358,7073,75.58238939944432
Eswatini,2021,2021-05-29,18589,17861,96.0837054171822
Ethiopia,2020,2020-12-31,124264,112096,90.20794437648877
Ethiopia,2021,2021-05-29,271200,236774,87.30604719764011
Fiji,2020,2020-12-31,49,44,89.79591836734694
Fiji,2021,2021-05-29,360,161,44.72222222222222
Finland,2020,2020-12-31,36107,29000,80.31683607056803
Finland,2021,2021-05-29,92244,46000,49.867742075365335
France,2020,2020-12-31,2677666,200142,7.474494578487384
France,2021,2021-05-29,5719877,390878,6.833678416511405
Gabon,2020,2020-12-31,9571,9388,98.08797408839202
Gabon,2021,2021-05-29,24365,21791,89.43566591422122
Gambia,2020,2020-12-31,3797,3664,96.49723465894127
Gambia,2021,2021-05-29,5990,5767,96.2771285475793
Georgia,2020,2020-12-31,227420,211727,93.09955149063407
Georgia,2021,2021-05-29,342880,325016,94.79001399906673
Germany,2020,2020-12-31,1760520,1350708,76.72210483266308
Germany,2021,2021-05-29,3684672,3479700,94.43717106977229
Ghana,2020,2020-12-31,54771,53594,97.85105256431324
Ghana,2021,2021-05-29,93775,91853,97.9504132231405
Greece,2020,2020-12-31,138850,93764,67.52898811667268
Greece,2021,2021-05-29,400395,93764,23.41787484858702
Grenada,2020,2020-12-31,127,107,84.25196850393701
Grenada,2021,2021-05-29,161,160,99.37888198757764
Guatemala,2020,2020-12-31,138012,126028,91.316697098803
Guatemala,2021,2021-05-29,253837,232359,91.53866457608622
Guinea,2020,2020-12-31,13722,13141,95.76592333479084
Guinea,2021,2021-05-29,23172,20971,90.50146728810633
Guinea-Bissau,2020,2020-12-31,2452,2397,97.75693311582381
Guinea-Bissau,2021,2021-05-29,3761,3516,93.48577505982452
Guyana,2020,2020-12-31,6332,5820,91.91408717624763
Guyana,2021,2021-05-29,16822,14468,86.00642016407086
Haiti,2020,2020-12-31,9999,8624,86.24862486248624
Haiti,2021,2021-05-29,14128,12528,88.67497168742922
Holy See,2020,2020-12-31,27,15,55.55555555555556
Holy See,2021,2021-05-29,27,27,100.0
Honduras,2020,2020-12-31,121827,56694,46.53648206062695
